retweetContacts,commentContacts,quoteContacts,otherContacts,sumContacts
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
276,23,6,0,305
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
89,51,7,0,147
34,0,0,0,34
567,109,13,0,689
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
476,6,1,0,483
1,0,0,0,1
3,8,0,0,11
6,0,0,0,6
2,0,0,0,2
11,39,1,0,51
8,0,0,0,8
582,8,5,0,595
1,0,0,0,1
28,0,0,0,28
2,0,0,0,2
9,0,0,0,9
3,0,0,0,3
4,0,0,0,4
36,0,0,0,36
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
24,10,0,0,34
4,0,0,0,4
6,0,0,0,6
2,0,0,0,2
1,0,0,0,1
118,4,0,0,122
12,1,1,0,14
1,0,0,0,1
132,14,1,0,147
199,67,5,0,271
1,0,0,0,1
7,0,0,0,7
4,0,0,0,4
6,0,0,0,6
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
20,0,0,0,20
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
9,0,0,0,9
1,0,0,0,1
42,0,0,0,42
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
120,4,0,0,124
4,0,0,0,4
1,0,0,0,1
